ISSN,Estrato
1757-8779,B4
1757-9708,A4
1758-5996,A2
1758-6798,A1
1760-6101,A3
1768-6733,A2
1769-7298,B2
1782-348X,A4
1785-8860,A4
1791-2377,B3
1793-351X,A2
1793-6950,A2
1793-9623,B2
1794-3108,B1
1804-1388,B1
1806-1362,A2
1806-2563,A4
1806-3365,B1
1806-3756,A2
1806-4892,A2
1806-6356,B2
1806-6690,A3
1806-8944,B2
1806-9126,A1
1806-9282,A3
1806-9304,A4
1806-9592,A1
1806-9649,B1
1807-1600,A1
1807-1627,A4
1807-1775,B1
1807-1953,B1
1807-3980,B2
1807-4545,B3
1807-5908,B4
1807-5932,A2
1807-7692,A2
1807-8095,B4
1807-8648,B2
1807-8664,A4
1807-8893,A1
1807-8931,B1
1807-975X,B1
1808-057X,A2
1808-0936,B2
1808-2599,A1
1808-3536,A1
1808-5245,A1
1808-5377,A2
1808-5687,A4
1809-1636,A3
1809-2276,A2
1809-3760,A4
1809-3876,A1
1809-4406,B2
1809-452X,A2
1809-5747,A4
1809-5771,B3
1809-7286,A3
1809-8207,A3
1810-2328,B1
1810-634X,C
1815-5901,B2
1816-6075,B1
1819-155X,B3
1820-0214,B1
1824-2049,A1
1826-9745,C
1827-1987,B1
1828-0447,A1
1828-1427,A4
1836-9553,A1
1845-6421,B2
1847-7003,B3
1850-6666,A2
1850-9959,A1
1852-0006,B2
1852-4206,A4
1852-7175,A4
1855-3966,A3
1860-5974,A4
1860-7187,A1
1861-1303,B1
1861-2032,B2
1861-8200,A3
1861-8219,A3
1861-9916,B1
1862-4472,A3
1862-5347,A2
1863-0383,A2
1863-1703,A4
1863-1711,A4
1863-2386,B1
1864-5909,A1
1865-0473,A3
1865-0929,B1
1865-7923,A3
1865-9284,A1
1866-1505,A1
1866-6280,A2
1866-7511,A1
1867-2949,A1
1867-4828,A3
1867-8548,A2
1868-3967,A3
1868-5137,A2
1868-6478,A2
1868-7083,A2
1868-8071,A2
1869-0238,A3
